osm_id	lat	lon	strasse	PLZ_Ort	Lage
88620536	49.15836699999999837	9.2016656999999995	Weinbergstraße 20	 74078 Heilbronn	M
88620539	49.15740919999999647	9.20104820000000068	Akazienweg 8	 74078 Heilbronn	M
88620541	49.15806870000000117	9.20067509999999977	Scheidemannstraße 10	 74078 Heilbronn	M
88620543	49.15825600000000151	9.19939229999999952	Marienburger Straße 88	 74078 Heilbronn	G
88620546	49.15790080000000017	9.20007449999999949	Scheidemannstraße 2	 74078 Heilbronn	M
88620547	49.15828789999999771	9.19894550000000066	Allensteiner Weg 44	 74078 Heilbronn	G
88620550	49.15865920000000244	9.2000907999999999	Weinbergstraße 3	 74078 Heilbronn	M
88620552	49.15754869999999954	9.2001179000000004	Rainlesstraße 2	 74078 Heilbronn	M
88620553	49.15826330000000155	9.20120700000000014	Weinbergstraße 18	 74078 Heilbronn	M
88620554	49.15723810000000071	9.20070379999999943	Rainlesstraße 10	 74078 Heilbronn	M
88620559	49.15702850000000268	9.19996560000000052	In der Steig 16	 74078 Heilbronn	M
88620560	49.15800399999999826	9.20099169999999944	Scheidemannstraße 14	 74078 Heilbronn	M
88620565	49.15828160000000224	9.19964580000000076	Marienburger Straße 90	 74078 Heilbronn	G
88620566	49.15785559999999776	9.20009169999999976	Scheidemannstraße 2	 74078 Heilbronn	M
88620569	49.15665460000000309	9.19830289999999984	Im Fleischbeil 21	 74078 Heilbronn	M
88620570	49.15712469999999712	9.2011731999999995	Akazienweg 4	 74078 Heilbronn	M
88620571	49.1578489999999988	9.20102840000000022	Scheidemannstraße 14	 74078 Heilbronn	M
88620573	49.15731980000000334	9.20008939999999953	In der Steig 22	 74078 Heilbronn	M
88620579	49.15664890000000042	9.19858810000000027	Im Fleischbeil 19	 74078 Heilbronn	M
88620580	49.15749869999999788	9.19998310000000075	In der Steig 24	 74078 Heilbronn	M
88620583	49.15664170000000155	9.19900280000000059	Im Fleischbeil 17	 74078 Heilbronn	M
88620586	49.1575958999999969	9.20012760000000007	Rainlesstraße 2	 74078 Heilbronn	M
